Metric		Current
UNIT_SIZE_COMPONENT_BETA_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BETA_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BETA_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BETA_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BETA_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_BETA_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BETA_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JAVA_NEGLIGIBLE_RISK_LOC		19
UNIT_SIZE_EXTENSION_JAVA_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_EXTENSION_JAVA_NEGLIGIBLE_RISK_COUNT		6
UNIT_SIZE_EXTENSION_JAVA_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_JAVA_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JAVA_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JAVA_MEDIUM_RISK_LOC		0
UNIT_SIZE_EXTENSION_JAVA_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JAVA_MEDIUM_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JAVA_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JAVA_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JAVA_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JAVA_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JAVA_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JAVA_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		19
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		6
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_NEGLIGIBLE_RISK_LOC		7
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_NEGLIGIBLE_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_NEGLIGIBLE_RISK_LOC		12
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_NEGLIGIBLE_RISK_COUNT		4
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_LOC		19
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_COUNT		6
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		0
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		0
DUPLICATION_NUMBER_OF_CLEANED_LINES		18
DUPLICATION_PERCENTAGE		0
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ALPHA		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ALPHA		0
DUPLICATION_PERCENTAGE_PRIMARY_ALPHA		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_BETA		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_BETA		0
DUPLICATION_PERCENTAGE_PRIMARY_BETA		-
TOTAL_ANALYSIS_TIME_IN_MILLIS		228
